UF_OrigemDestino,ICMS_Fator
RORO,1.18
ACRO,1.12
AMRO,1.12
RRRO,1.12
PARO,1.12
TORO,1.12
MARO,1.12
PIRO,1.12
CERO,1.12
RNRO,1.12
PBRO,1.12
PERO,1.12
ALRO,1.12
SERO,1.12
BARO,1.12
MGRO,1.07
ESRO,1.12
RJRO,1.07
SPRO,1.07
PRRO,1.07
SCRO,1.07
RSRO,1.07
MTRO,1.12
MSRO,1.12
GORO,1.12
DFRO,1.12
ROAC,1.12
ACAC,1.17
AMAC,1.12
RRAC,1.12
PAAC,1.12
TOAC,1.12
MAAC,1.12
PIAC,1.12
CEAC,1.12
RNAC,1.12
PBAC,1.12
PEAC,1.12
ALAC,1.12
SEAC,1.12
BAAC,1.12
MGAC,1.07
ESAC,1.12
RJAC,1.07
SPAC,1.07
PRAC,1.07
SCAC,1.07
RSAC,1.07
MTAC,1.12
MSAC,1.12
GOAC,1.12
DFAC,1.12
ROAM,1.12
ACAM,1.12
AMAM,1.18
RRAM,1.12
PAAM,1.12
TOAM,1.12
MAAM,1.12
PIAM,1.12
CEAM,1.12
RNAM,1.12
PBAM,1.12
PEAM,1.12
ALAM,1.12
SEAM,1.12
BAAM,1.12
MGAM,1.07
ESAM,1.12
RJAM,1.07
SPAM,1.07
PRAM,1.07
SCAM,1.07
RSAM,1.07
MTAM,1.12
MSAM,1.12
GOAM,1.12
DFAM,1.12
RORR,1.12
ACRR,1.12
AMRR,1.12
RRRR,1.17
PARR,1.12
TORR,1.12
MARR,1.12
PIRR,1.12
CERR,1.12
RNRR,1.12
PBRR,1.12
PERR,1.12
ALRR,1.12
SERR,1.12
BARR,1.12
MGRR,1.07
ESRR,1.12
RJRR,1.07
SPRR,1.07
PRRR,1.07
SCRR,1.07
RSRR,1.07
MTRR,1.12
MSRR,1.12
GORR,1.12
DFRR,1.12
ROPA,1.12
ACPA,1.12
AMPA,1.12
RRPA,1.12
PAPA,1.17
TOPA,1.12
MAPA,1.12
PIPA,1.12
CEPA,1.12
RNPA,1.12
PBPA,1.12
PEPA,1.12
ALPA,1.12
SEPA,1.12
BAPA,1.12
MGPA,1.07
ESPA,1.12
RJPA,1.07
SPPA,1.07
PRPA,1.07
SCPA,1.07
RSPA,1.07
MTPA,1.12
MSPA,1.12
GOPA,1.12
DFPA,1.12
ROTO,1.12
ACTO,1.12
AMTO,1.12
RRTO,1.12
PATO,1.12
TOTO,1.18
MATO,1.12
PITO,1.12
CETO,1.12
RNTO,1.12
PBTO,1.12
PETO,1.12
ALTO,1.12
SETO,1.12
BATO,1.12
MGTO,1.07
ESTO,1.12
RJTO,1.07
SPTO,1.07
PRTO,1.07
SCTO,1.07
RSTO,1.07
MTTO,1.12
MSTO,1.12
GOTO,1.12
DFTO,1.12
ROMA,1.12
ACMA,1.12
AMMA,1.12
RRMA,1.12
PAMA,1.12
TOMA,1.12
MAMA,1.18
PIMA,1.12
CEMA,1.12
RNMA,1.12
PBMA,1.12
PEMA,1.12
ALMA,1.12
SEMA,1.12
BAMA,1.12
MGMA,1.07
ESMA,1.12
RJMA,1.07
SPMA,1.07
PRMA,1.07
SCMA,1.07
RSMA,1.07
MTMA,1.12
MSMA,1.12
GOMA,1.12
DFMA,1.12
ROPI,1.12
ACPI,1.12
AMPI,1.12
RRPI,1.12
PAPI,1.12
TOPI,1.12
MAPI,1.12
PIPI,1.18
CEPI,1.12
RNPI,1.12
PBPI,1.12
PEPI,1.12
ALPI,1.12
SEPI,1.12
BAPI,1.12
MGPI,1.07
ESPI,1.12
RJPI,1.07
SPPI,1.07
PRPI,1.07
SCPI,1.07
RSPI,1.07
MTPI,1.12
MSPI,1.12
GOPI,1.12
DFPI,1.12
ROCE,1.12
ACCE,1.12
AMCE,1.12
RRCE,1.12
PACE,1.12
TOCE,1.12
MACE,1.12
PICE,1.12
CECE,1.18
RNCE,1.12
PBCE,1.12
PECE,1.12
ALCE,1.12
SECE,1.12
BACE,1.12
MGCE,1.07
ESCE,1.12
RJCE,1.07
SPCE,1.07
PRCE,1.07
SCCE,1.07
RSCE,1.07
MTCE,1.12
MSCE,1.12
GOCE,1.12
DFCE,1.12
RORN,1.12
ACRN,1.12
AMRN,1.12
RRRN,1.12
PARN,1.12
TORN,1.12
MARN,1.12
PIRN,1.12
CERN,1.12
RNRN,1.18
PBRN,1.12
PERN,1.12
ALRN,1.12
SERN,1.12
BARN,1.12
MGRN,1.07
ESRN,1.12
RJRN,1.07
SPRN,1.07
PRRN,1.07
SCRN,1.07
RSRN,1.07
MTRN,1.12
MSRN,1.12
GORN,1.12
DFRN,1.12
ROPB,1.12
ACPB,1.12
AMPB,1.12
RRPB,1.12
PAPB,1.12
TOPB,1.12
MAPB,1.12
PIPB,1.12
CEPB,1.12
RNPB,1.12
PBPB,1.18
PEPB,1.12
ALPB,1.12
SEPB,1.12
BAPB,1.12
MGPB,1.07
ESPB,1.12
RJPB,1.07
SPPB,1.07
PRPB,1.07
SCPB,1.07
RSPB,1.07
MTPB,1.12
MSPB,1.12
GOPB,1.12
DFPB,1.12
ROPE,1.12
ACPE,1.12
AMPE,1.12
RRPE,1.12
PAPE,1.12
TOPE,1.12
MAPE,1.12
PIPE,1.12
CEPE,1.12
RNPE,1.12
PBPE,1.12
PEPE,1.18
ALPE,1.12
SEPE,1.12
BAPE,1.12
MGPE,1.07
ESPE,1.12
RJPE,1.07
SPPE,1.07
PRPE,1.07
SCPE,1.07
RSPE,1.07
MTPE,1.12
MSPE,1.12
GOPE,1.12
DFPE,1.12
ROAL,1.12
ACAL,1.12
AMAL,1.12
RRAL,1.12
PAAL,1.12
TOAL,1.12
MAAL,1.12
PIAL,1.12
CEAL,1.12
RNAL,1.12
PBAL,1.12
PEAL,1.12
ALAL,1.18
SEAL,1.12
BAAL,1.12
MGAL,1.07
ESAL,1.12
RJAL,1.07
SPAL,1.07
PRAL,1.07
SCAL,1.07
RSAL,1.07
MTAL,1.12
MSAL,1.12
GOAL,1.12
DFAL,1.12
ROSE,1.12
ACSE,1.12
AMSE,1.12
RRSE,1.12
PASE,1.12
TOSE,1.12
MASE,1.12
PISE,1.12
CESE,1.12
RNSE,1.12
PBSE,1.12
PESE,1.12
ALSE,1.12
SESE,1.18
BASE,1.12
MGSE,1.07
ESSE,1.12
RJSE,1.07
SPSE,1.07
PRSE,1.07
SCSE,1.07
RSSE,1.07
MTSE,1.12
MSSE,1.12
GOSE,1.12
DFSE,1.12
ROBA,1.12
ACBA,1.12
AMBA,1.12
RRBA,1.12
PABA,1.12
TOBA,1.12
MABA,1.12
PIBA,1.12
CEBA,1.12
RNBA,1.12
PBBA,1.12
PEBA,1.12
ALBA,1.12
SEBA,1.12
BABA,1.18
MGBA,1.07
ESBA,1.12
RJBA,1.07
SPBA,1.07
PRBA,1.07
SCBA,1.07
RSBA,1.07
MTBA,1.12
MSBA,1.12
GOBA,1.12
DFBA,1.12
ROMG,1.12
ACMG,1.12
AMMG,1.12
RRMG,1.12
PAMG,1.12
TOMG,1.12
MAMG,1.12
PIMG,1.12
CEMG,1.12
RNMG,1.12
PBMG,1.12
PEMG,1.12
ALMG,1.12
SEMG,1.12
BAMG,1.12
MGMG,1.18
ESMG,1.12
RJMG,1.12
SPMG,1.12
PRMG,1.12
SCMG,1.12
RSMG,1.12
MTMG,1.12
MSMG,1.12
GOMG,1.12
DFMG,1.12
ROES,1.12
ACES,1.12
AMES,1.12
RRES,1.12
